,motor_B,motor_C,motor_D,motor_E,screw_B,screw_C,screw_D,screw_E,pgain_4,pgain_5,pgain_6,vgain_2,vgain_3,vgain_4,vgain_5,censoring,class
111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.7312541
112,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.46875226
113,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.068751
114,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1.2187401
115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8437549
116,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0.99375594
117,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0.31875122
118,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.99375594
119,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.4999949
120,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.58125305
121,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.76875436
122,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5437528
123,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.2999974
124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.299977
125,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1.0312537
126,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.8999897
127,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0.431252
128,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.58125305
129,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.299977
130,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0.31875122
131,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.5437528
132,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0.28125095
133,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0.35625148
134,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.46875226
135,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0.5437528
136,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.6187533
137,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.5062525
138,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.20625044
139,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.899964
140,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.5062525
141,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.1062483
142,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.899964
143,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.8062546
144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.899964
145,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1.4999949
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.100014
147,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1.4999949
148,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.6999955
149,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.88125515
150,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8062546
151,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0.7000007
152,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.9000011
153,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.4999949
154,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.2437507
155,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0999675
156,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0.99375594
157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4.6999955
158,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.58125305
159,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.8062546
160,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6999795
161,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0.46875226
162,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.499986
163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.6999667
164,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.9562557
165,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4.499986
166,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.8062546
