,X1 transaction date_1,X1 transaction date_2,X1 transaction date_3,X2 house age_1,X2 house age_2,X2 house age_3,X3 distance to the nearest MRT station_1,X3 distance to the nearest MRT station_2,X3 distance to the nearest MRT station_3,X4 number of convenience stores_1,X4 number of convenience stores_2,X4 number of convenience stores_3,X5 latitude_1,X5 latitude_2,X5 latitude_3,X6 longitude_1,X6 longitude_2,X6 longitude_3,censoring,Y house price of unit area
26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,56.2
27,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,33.6
28,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,47.0
29,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,57.1
30,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.1
31,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,25.0
32,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,34.2
33,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,49.3
34,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,55.1
35,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,27.3
36,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,22.9
37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.3
38,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,47.7
39,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,46.2
40,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,15.9
41,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,18.2
42,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,34.7
43,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,34.1
44,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,53.9
45,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,38.3
46,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,42.0
47,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,61.5
48,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.4
49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13.2
50,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,44.2
51,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,20.7
52,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,27.0
53,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38.9
54,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,51.7
55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13.7
56,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,41.9
57,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,53.5
58,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22.6
59,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,42.4
60,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,21.3
61,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,63.2
62,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,27.7
63,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,55.0
64,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,25.3
65,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,44.3
66,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,50.7
67,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,56.8
68,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,36.2
69,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,42.0
70,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,59.0
71,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,40.8
72,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,36.3
73,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20.0
74,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,54.4
75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29.5
76,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,36.8
77,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25.6
78,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,29.8
79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.5
80,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,40.3
81,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,36.8
82,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,48.1
83,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,17.7
84,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,43.7
85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,50.8
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27.0
87,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,18.3
88,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,48.0
89,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,25.3
90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,45.4
91,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,43.2
92,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,21.8
93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16.1
94,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,41.0
95,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,51.8
96,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,59.5
97,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,34.6
98,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,51.0
99,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,62.2
100,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,38.2
101,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,32.9
102,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,54.4
103,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,45.7
104,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,30.5
105,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,71.0
106,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,47.1
107,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.6
108,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,34.1
109,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,28.4
110,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,51.6
111,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,39.4
112,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23.1
113,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,7.6
114,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,53.3
115,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,46.4
116,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12.2
117,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13.0
118,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,30.6
119,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,59.6
120,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,31.3
121,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,48.0
122,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,32.5
123,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,45.5
124,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,57.4
125,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,48.6
126,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,62.9
127,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,55.0
128,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,60.7
129,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,41.0
130,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,37.5
131,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,30.7
132,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,37.5
133,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,39.5
134,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,42.2
135,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20.8
136,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,46.8
137,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,47.4
138,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,43.5
139,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,42.5
140,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,51.4
141,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,28.9
142,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,37.5
143,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,40.1
144,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28.4
145,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,45.5
146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52.2
147,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,43.2
148,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,45.1
149,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,39.7
150,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,48.5
151,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,44.7
152,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28.9
153,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,40.9
154,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20.7
155,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,15.6
156,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.3
157,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,35.6
158,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,39.4
159,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,37.4
160,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,57.8
161,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,39.6
162,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,11.6
163,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,55.5
164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,55.2
165,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30.6
166,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,73.6
167,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,43.4
168,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,37.4
169,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,23.5
170,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14.4
171,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,58.8
172,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,58.1
173,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,35.1
174,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,45.2
175,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,36.5
176,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19.2
177,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,42.0
178,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,36.7
179,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,42.6
180,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.5
181,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,55.9
182,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23.6
183,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,18.8
184,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,21.8
185,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,21.5
186,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25.7
187,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,22.0
188,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,44.3
189,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,20.5
190,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,42.3
191,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,37.8
192,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,42.7
193,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,49.3
194,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,29.3
195,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,34.6
196,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,36.6
197,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,48.2
198,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,39.1
199,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,31.6
200,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,25.5
201,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,45.9
202,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,31.5
203,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,46.1
204,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.6
205,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,21.4
206,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,44.0
207,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,34.2
208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26.2
209,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,40.9
210,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,52.2
211,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,43.5
212,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,31.1
213,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,58.0
214,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,20.9
215,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,48.1
216,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,39.7
217,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,40.8
218,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,43.8
219,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,40.2
220,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,78.3
221,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,38.5
222,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,48.5
223,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,42.3
224,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,46.0
225,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,49.0
226,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,12.8
227,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,40.2
228,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,46.6
229,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19.0
230,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33.4
231,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,14.7
232,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.4
233,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,32.4
234,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,23.9
235,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,39.3
236,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,61.9
237,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,39.0
238,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,40.6
239,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,29.7
240,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,28.8
241,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,41.4
242,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33.4
243,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,48.2
244,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,21.7
245,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,40.8
246,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,40.6
247,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,23.1
248,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,22.3
249,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,15.0
250,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,30.0
251,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.8
252,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,52.7
253,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,25.9
254,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,51.8
255,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.4
256,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,26.5
257,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,43.9
258,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,63.3
259,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,28.8
260,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,30.7
261,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,24.4
262,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,53.0
263,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,31.7
264,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,40.6
265,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,38.1
266,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23.7
267,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,41.1
268,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,40.1
269,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,23.0
270,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,117.5
271,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,26.5
272,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,40.5
273,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,29.3
274,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,41.0
275,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,49.7
276,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,34.0
277,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,27.7
278,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,44.0
279,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,31.1
280,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,45.4
281,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,44.8
282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.6
283,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,23.5
284,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,34.4
285,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,55.3
286,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,56.3
287,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,32.9
288,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,51.0
289,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,44.5
290,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,37.0
291,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,54.4
292,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,24.5
293,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,42.5
294,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,38.1
295,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,21.8
296,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,34.1
297,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,28.5
298,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16.7
299,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,46.1
300,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,36.9
301,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,35.7
302,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,23.2
303,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,38.4
304,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,29.4
305,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,55.0
306,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,50.2
307,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,24.7
